Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[21:48:59] epoch=3 step=15850 loss=0.6719 | process=ALIVE
[21:53:59] epoch=3 step=16100 loss=0.6719 | process=ALIVE
[21:58:59] epoch=3 step=16200 loss=0.6719 | process=ALIVE
[22:03:59] epoch=4 step=200 loss=0.683 | process=ALIVE
  -> Epoch 3 complete: loss=0.6719 dev_acc=0.5824
[22:08:59] epoch=4 step=450 loss=0.6724 | process=ALIVE
[22:13:59] epoch=4 step=700 loss=0.6733 | process=ALIVE
[22:18:59] epoch=4 step=900 loss=0.6743 | process=ALIVE
[22:23:59] epoch=4 step=1150 loss=0.6715 | process=ALIVE
[22:28:59] epoch=4 step=1400 loss=0.6725 | process=ALIVE
[22:33:59] epoch=4 step=1600 loss=0.671 | process=ALIVE
[22:38:59] epoch=4 step=1850 loss=0.6708 | process=ALIVE
[22:43:59] epoch=4 step=2100 loss=0.6707 | process=ALIVE
[22:48:59] epoch=4 step=2300 loss=0.6706 | process=ALIVE
[22:53:59] epoch=4 step=2550 loss=0.671 | process=ALIVE
[22:59:00] epoch=4 step=2800 loss=0.6705 | process=ALIVE
[23:04:00] epoch=4 step=3050 loss=0.6705 | process=ALIVE
[23:09:00] epoch=4 step=3250 loss=0.6707 | process=ALIVE
[23:14:00] epoch=4 step=3500 loss=0.6706 | process=ALIVE
[23:19:00] epoch=4 step=3750 loss=0.6709 | process=ALIVE
[23:24:00] epoch=4 step=4000 loss=0.6712 | process=ALIVE
[23:29:00] epoch=4 step=4200 loss=0.6711 | process=ALIVE
[23:34:00] epoch=4 step=4450 loss=0.6712 | process=ALIVE
[23:39:00] epoch=4 step=4700 loss=0.6713 | process=ALIVE
[23:44:00] epoch=4 step=4950 loss=0.6711 | process=ALIVE
[23:49:00] epoch=4 step=5150 loss=0.6711 | process=ALIVE
[23:54:00] epoch=4 step=5400 loss=0.6707 | process=ALIVE
[23:59:00] epoch=4 step=5650 loss=0.6711 | process=ALIVE
[00:04:00] epoch=4 step=5900 loss=0.6715 | process=ALIVE
[00:09:00] epoch=4 step=6150 loss=0.6713 | process=ALIVE
[00:14:00] epoch=4 step=6400 loss=0.6715 | process=ALIVE
[00:19:00] epoch=4 step=6600 loss=0.6713 | process=ALIVE
[00:24:00] epoch=4 step=6850 loss=0.6715 | process=ALIVE
[00:29:01] epoch=4 step=7100 loss=0.6713 | process=ALIVE
[00:34:01] epoch=4 step=7350 loss=0.6712 | process=ALIVE
[00:39:01] epoch=4 step=7600 loss=0.6714 | process=ALIVE
[00:44:01] epoch=4 step=7800 loss=0.6715 | process=ALIVE
[00:49:01] epoch=4 step=8050 loss=0.6715 | process=ALIVE
[00:54:01] epoch=4 step=8300 loss=0.6713 | process=ALIVE
[00:59:01] epoch=4 step=8550 loss=0.6715 | process=ALIVE
[01:04:01] epoch=4 step=8750 loss=0.6714 | process=ALIVE
[01:09:01] epoch=4 step=9000 loss=0.6713 | process=ALIVE
[01:14:01] epoch=4 step=9250 loss=0.6712 | process=ALIVE
[01:19:01] epoch=4 step=9500 loss=0.6713 | process=ALIVE
[01:24:02] epoch=4 step=9750 loss=0.6712 | process=ALIVE
[01:29:02] epoch=4 step=9950 loss=0.6711 | process=ALIVE
